,Metric,Case,GPT4,ChatGPT,Davinci,Curie,Llama2 Chat,Llama2,Flan UL2
0,Leakage thru. String Match,avg,0.09222222222222222,0.5244444444444445,0.3437037037037037,0.3937037037037037,0.8207407407407408,0.5159259259259259,0.6544444444444445
1,Leakage thru. String Match,worst,0.21851851851851853,0.9259259259259259,0.7925925925925926,0.8777777777777778,0.9962962962962963,0.9925925925925926,0.9888888888888889
2,Leakage thru. Proxy Agent,avg,0.06851851851851852,0.4025925925925926,0.25703703703703706,0.2562962962962963,0.5255555555555556,0.30185185185185187,0.45555555555555555
3,Leakage thru. Proxy Agent,worst,0.2,0.8925925925925926,0.737037037037037,0.8111111111111111,0.9888888888888889,0.9629629629629629,0.9666666666666667
4,Information Access. Err.,avg,0.023703703703703703,0.12296296296296297,0.4022222222222222,0.7562962962962962,0.8551851851851852,0.7885185185185185,0.16037037037037036
5,Information Access. Err.,worst,0.044444444444444446,0.40370370370370373,0.762962962962963,0.9777777777777777,1.0,1.0,0.5962962962962963
6,Private Information Access. Err.,avg,0.01814814814814815,0.09481481481481481,0.30925925925925923,0.7759259259259259,0.832962962962963,0.7574074074074074,0.12481481481481481
7,Private Information Access. Err.,worst,0.025925925925925925,0.32222222222222224,0.7037037037037037,0.9925925925925926,1.0,1.0,0.5555555555555556
8,Binary Control Question,avg,0.04111111111111111,0.008518518518518519,0.0,0.36444444444444446,0.39185185185185184,0.7788888888888889,0.3611111111111111
9,Binary Control Question,worst,0.06296296296296296,0.037037037037037035,0.0,0.9222222222222223,0.9851851851851852,1.0,0.9111111111111111
